Time	Anisotropy	Time	Polarization	Time	S1_hh	Time	S1_hv	Time	S1_vh	Time	S1_vm	Time	S1_vv
s		s		s	CPS	s	CPS	s	CPS	s	CPS	s	CPS
0	0.426171859481352	0	0.5269682662618	0	35418	0	22148	0	11398	0	17258	0	23008
11.762	0.43472266887464	11.762	0.535653618088143	11.762	34828	11.762	21538	11.762	11558	11.746	17638	11.746	23638
23.525	0.447764964089866	23.525	0.548784263185605	23.525	35158	23.525	21008	23.525	11018	23.509	17998	23.509	22598
35.287	0.468644042836722	35.287	0.569515938350759	35.287	34148	35.287	20698	35.287	10348	35.271	16728	35.271	22868
47.034	0.443332968748249	47.05	0.544337969182368	47.05	31618	47.05	20348	47.05	10168	47.034	16358	47.034	22178
58.797	0.459114818876607	58.797	0.560097660368308	58.797	32098	58.797	18488	58.797	10348	58.781	16038	58.781	21138
70.559	0.463332187593782	70.559	0.564274915816009	70.559	31198	70.559	18868	70.559	9708	70.543	16108	70.543	21078
82.322	0.443441946930194	82.322	0.544447492383411	82.322	31568	82.322	19218	82.322	10198	82.306	15798	82.306	21048
94.084	0.475229118118523	94.084	0.575981974322953	94.084	30858	94.084	18778	94.084	9558	94.068	16398	94.068	21618
105.831	0.488152490513075	105.831	0.588572234669284	105.831	29868	105.831	17788	105.831	8888	105.815	16268	105.815	20438
117.593	0.469820636058958	117.593	0.570673792096062	117.593	29178	117.593	17158	117.593	9528	117.577	15528	117.577	20498
129.356	0.471303701305942	129.356	0.57213166603953	129.356	29308	129.356	17638	129.356	8908	129.34	14678	129.34	19698
141.103	0.466972912159463	141.103	0.567869525268559	141.103	29678	141.118	18388	141.118	8718	141.102	15358	141.102	19598
152.865	0.484046462071267	152.865	0.584586241999261	152.865	30368	152.865	17638	152.865	9198	152.849	15028	152.849	20378
164.628	0.487685107392047	164.628	0.588119178680909	164.628	30708	164.628	17948	164.628	9038	164.612	14688	164.612	20368
176.39	0.482762039924964	176.39	0.583336661542749	176.39	28798	176.39	17598	176.39	8698	176.374	14768	176.374	20198
188.137	0.500105423304657	188.137	0.600101202104847	188.137	29238	188.137	17358	188.137	8528	188.121	14768	188.121	20258
199.9	0.471824469638361	199.9	0.572643173615873	199.9	28878	199.9	17938	199.9	8858	199.884	14528	199.884	20248
211.662	0.468642691923665	211.662	0.569514608319214	211.662	30568	211.662	17618	211.662	9098	211.646	14408	211.646	19118
223.409	0.442421912648423	223.425	0.543421974341057	223.425	32318	223.425	19428	223.425	9708	223.409	14568	223.409	19728
235.171	0.471060908102857	235.171	0.571893116707323	235.171	31788	235.171	18698	235.171	9778	235.155	15798	235.155	21118
246.934	0.493459859556552	246.934	0.593704997093049	246.934	31488	246.934	18698	246.934	9148	246.918	14368	246.918	21308
258.696	0.442487722733096	258.696	0.543488164073096	258.696	32398	258.696	18988	258.696	10208	258.68	15688	258.68	20228
270.459	0.4650737577327	270.459	0.565995751170295	270.459	34008	270.459	20338	270.459	9768	270.443	16678	270.443	21078
282.206	0.478916955050393	282.206	0.57958813917668	282.206	33488	282.206	18748	282.206	10168	282.205	17118	282.205	21388
293.968	0.49065407946023	293.968	0.59099424947028	293.968	33058	293.968	19468	293.968	9808	293.952	16038	293.952	22468
305.731	0.476345581978368	305.731	0.577074846231049	305.731	33548	305.731	18938	305.731	10398	305.715	16318	305.715	21888
317.493	0.463905831299922	317.493	0.564841998513196	317.493	34518	317.493	19948	317.493	10518	317.477	16318	317.477	21858
329.256	0.4892047082905	329.256	0.589591575165952	329.256	35588	329.256	20138	329.256	10078	329.24	17368	329.24	22088
341.018	0.463904141797586	341.018	0.564840328722127	341.018	34838	341.018	20468	341.018	10308	341.002	16578	341.002	21778
352.765	0.435142322301496	352.765	0.536078304314758	352.765	33288	352.781	19618	352.781	10648	352.765	16818	352.765	20778
364.543	0.435325198352071	364.543	0.536263327764167	364.543	33008	364.543	19958	364.543	10488	364.527	16808	364.527	21008
376.29	0.471085846960192	376.29	0.571917621809495	376.29	34168	376.306	18938	376.306	10838	376.29	17508	376.29	22058
388.052	0.484830062111531	388.052	0.585347951359946	388.052	38218	388.052	19958	388.052	11158	388.036	18278	388.052	22278
399.815	0.484140391368247	399.815	0.584677572632985	399.815	35388	399.815	19738	399.815	10628	399.799	16738	399.799	22618
411.577	0.501724732284368	411.577	0.601654601495146	411.577	36148	411.593	20808	411.593	10118	411.577	17098	411.577	23418
