Time	Anisotropy	Time	Polarization	Time	S1_hh	Time	S1_hv	Time	S1_vh	Time	S1_vm	Time	S1_vv
423.34	0.483962980084182	423.34	0.584505063840903	423.34	35688	423.34	20898	423.34	9918	423.324	16808	423.324	22148
435.102	0.452455720969568	435.102	0.553472648375512	435.102	37608	435.102	21538	435.102	11608	435.086	16948	435.086	23128
446.865	0.467477970855634	446.865	0.568367348819972	446.865	36158	446.865	20378	446.865	10708	446.849	17268	446.849	21928
458.643	0.449048396953855	458.643	0.550068831852059	458.643	34498	458.643	21468	458.643	10508	458.627	17218	458.627	22528
470.405	0.504760908332582	470.405	0.604561784703756	470.405	36658	470.405	20408	470.405	10318	470.389	17288	470.389	23308
482.152	0.475674308800265	482.152	0.576417875860393	482.152	35598	482.168	21488	482.168	10678	482.152	17758	482.152	23988
493.915	0.499833712798185	493.915	0.599840353667401	493.915	39128	493.915	21088	493.915	10548	493.899	16868	493.899	22728
505.677	0.48675026529381	505.677	0.587212482194669	505.677	36838	505.677	20438	505.677	10368	505.661	17718	505.661	22118
517.44	0.456073417053637	517.44	0.557076283494107	517.44	37478	517.44	21668	517.44	11458	517.424	17518	517.424	23288
529.202	0.496838458035798	529.202	0.596961076640876	529.202	38348	529.202	20808	529.202	11548	529.186	18598	529.186	24828
540.965	0.453339869729002	540.965	0.554354342000416	540.965	38448	540.965	21928	540.965	11888	540.949	18708	540.949	23648
552.711	0.461514158493052	552.727	0.562475934051412	552.727	37138	552.727	21758	552.727	11188	552.711	16858	552.711	23408
564.474	0.490885482147898	564.49	0.591218045549737	564.49	37998	564.49	20828	564.49	11088	564.474	17868	564.474	23658
576.236	0.485777254553826	576.236	0.586268041913939	576.236	37158	576.236	20668	576.236	11028	576.236	18028	576.236	23518
587.999	0.461499918617974	587.999	0.562461832877597	587.999	36518	587.999	21328	587.999	11118	587.983	17948	587.998	23188
